***2017

Nevada,6386,1,6385,1410,467,840,462,439,395,2372,2819
Oregon,9649,--    ,9649,1550,1098,1994,975,531,298,3203,3964
Washington,8734,1,8733,1766,891,1401,1115,586,272,2704,7052
,,,,,,,,,,,
Alaska,19586,--    ,19586,3383,1263,2762,884,2187,505,8603,736
Hawaii,9481,0,9481,1503,801,1932,901,527,319,3498,1415

***2013

United States ,8327,10,8317,1803,822,1630,774,507,312,2469,316058
,,,,,,,,,,,
New England,9323,2,9321,2196,726,2147,387,542,312,3011,14645
Connecticut,9430,--    ,9430,2406,726,1730,575,600,312,3081,3595
Maine,8253,--    ,8253,1685,596,2294,371,692,193,2422,1328
Massachusetts,9846,1,9845,2201,740,2506,352,453,335,3257,6714
New Hampshire,7277,--    ,7277,2027,638,1113,117,600,275,2506,1326
Rhode Island,8877,17,8860,2155,626,2126,262,425,350,2916,1055
Vermont,10442,--    ,10442,2435,1210,2611,503,915,321,2446,626
,,,,,,,,,,,
Mideast,10497,3,10494,2589,739,2295,778,571,395,3126,48761
Delaware,9943,1,9942,2000,1356,2088,594,618,354,2931,924
District of Columbia,17768,--    ,17768,3639,244,4908,1047,980,861,6088,650
Maryland,8854,--    ,8854,2044,945,1737,372,480,392,2884,5924
New Jersey,9599,2,9597,2812,671,1547,641,571,389,2968,8858
New York,12451,--    ,12451,3008,688,2945,1063,502,474,3770,19628
Pennsylvania,8549,10,8539,2034,751,1958,622,695,259,2220,12777
,,,,,,,,,,,
Great Lakes,7896,1,7895,1772,881,1609,622,483,291,2238,46694
Illinois,8375,1,8374,1939,712,1565,349,565,376,2869,12898
Indiana,7079,4,7075,1462,896,1653,718,387,178,1782,6568
Michigan,7540,1,7538,1659,1057,1338,866,343,256,2019,9913
Ohio,7967,1,7966,1853,843,1828,661,441,280,2062,11577
Wisconsin,8228,--    ,8228,1785,1018,1681,622,733,315,2074,5737
,,,,,,,,,,,
Plains,8137,5,8132,1803,898,1568,795,668,265,2135,20871
Iowa,8825,--    ,8825,1927,1149,1567,1146,713,223,2099,3093
Kansas,7807,1,7806,1778,1055,1092,1013,595,275,1997,2894
Minnesota,8810,--    ,8810,1911,859,2183,567,708,306,2276,5414
Missouri,7185,11,7174,1594,636,1382,876,429,270,1987,6041
Nebraska,8107,23,8084,2043,1080,1335,680,705,228,2013,1865
North Dakota,10298,--    ,10298,1994,1359,1449,297,1849,217,3132,722
South Dakota,7468,--    ,7468,1532,775,1205,326,1119,208,2305,842
,,,,,,,,,,,
Southeast,7285,0,7285,1508,730,1392,831,436,277,2111,80553
Alabama,8174,--    ,8174,1542,1030,1600,1251,485,241,2025,4830
Arkansas,7100,0,7100,1659,881,1726,433,521,216,1664,2960
Florida,6822,--    ,6822,1260,487,1215,645,418,366,2431,19563
Georgia,6501,--    ,6501,1709,631,1094,667,328,237,1836,9973
Kentucky,7370,--    ,7370,1560,859,1595,595,572,179,2010,4405
Louisiana,8799,--    ,8799,1631,657,1581,1093,540,323,2974,4625
Mississippi,7987,--    ,7987,1442,861,1815,1334,550,225,1760,2989
North Carolina,7562,--    ,7562,1364,940,1432,1178,413,279,1957,9844
South Carolina,7304,--    ,7304,1610,776,1303,1339,266,227,1783,4764
Tennessee,6511,--    ,6511,1372,564,1595,621,367,266,1726,6493
Virginia,7856,0,7856,1878,935,1298,722,510,261,2251,8253
West Virginia,7916,--    ,7916,1708,908,1884,391,638,195,2191,1854
,,,,,,,,,,,
Southwest,7000,1,6999,1580,905,1273,679,465,262,1835,39070
Arizona,6356,--    ,6356,1124,765,1257,532,342,308,2029,6635
New Mexico,8629,--    ,8629,1658,1115,1924,802,513,311,2305,2093
Oklahoma,7113,14,7099,1480,864,1666,562,575,230,1723,3853
Texas,7016,--    ,7016,1703,929,1168,724,476,251,1766,26489
,,,,,,,,,,,
Rocky Mountain,7817,1,7816,1572,951,1214,743,576,284,2477,11376
